ProductID,ProductName,Category,Subcategory,SupplierID,Cost,Price,ProductStatus
134,Summit Tents,Camping,Tents,1,180.35,330.95,Discontinued
135,Alpine Tents,Camping,Tents,54,120.75,188.91,Active
136,Explorer Trail Shoes,Footwear,Trail Shoes,31,179.3,355.32,Discontinued
137,Ultralight Trekking Poles,Hiking,Trekking Poles,39,44.71,74.53,Active
138,Trail Comfort Sleeping Bags,Camping,Sleeping Bags,18,91.57,229.18,Active
139,Moisture Shirts,Apparel,Shirts,56,149.18,346.68,Active
140,Adventure Trail Shoes,Footwear,Trail Shoes,25,89.79,221.6,Discontinued
141,StormGuard Jackets,Apparel,Jackets,55,67.31,130.32,Discontinued
142,Mountain Sleeping Bags,Camping,Sleeping Bags,25,123.51,330.86,Discontinued
143,Ocean Kayaks,Kayaking,Kayaks,38,241.56,380.88,Active
144,Cold Weather Sleeping Bags,Camping,Sleeping Bags,47,136.23,277.87,Active
145,Summit Hiking Boots,Footwear,Hiking Boots,22,122.68,338.21,Discontinued
146,Ocean Kayaks,Kayaking,Kayaks,25,214.56,558.52,Active
147,Carbon Paddles,Kayaking,Paddles,44,158.19,273.46,Active
148,Explorer Backpacks,Hiking,Backpacks,46,244.8,603.31,Active
149,Mountain Hiking Boots,Footwear,Hiking Boots,21,81.87,117.94,Active
150,Outdoor Shirts,Apparel,Shirts,27,113.36,197.46,Active
151,Trail Backpacks,Hiking,Backpacks,44,156.28,302.49,Active
152,Summit Hiking Boots,Footwear,Hiking Boots,17,120.68,211.86,Active
153,Explorer Trail Shoes,Footwear,Trail Shoes,23,141.18,212.25,Active
154,Aluminum Paddles,Kayaking,Paddles,25,119.64,218.1,Discontinued
155,Explorer Tents,Camping,Tents,45,147.26,324.67,Active
156,Rechargeable Lighting,Camping,Lighting,44,75.88,166.35,Active
157,Pro Reels,Fishing,Reels,52,196.18,337.85,Active
158,Adventure Backpacks,Hiking,Backpacks,50,70.15,172.42,Active
159,Explorer Kayaks,Kayaking,Kayaks,29,165.12,302.58,Active
160,Tournament Reels,Fishing,Reels,21,41.54,111.06,Discontinued
161,Trail Backpacks,Hiking,Backpacks,24,198.76,522.15,Active
162,Aluminum Trekking Poles,Hiking,Trekking Poles,56,242.17,439.1,Active
163,Cold Weather Sleeping Bags,Camping,Sleeping Bags,56,43.78,120.53,Discontinued
164,Spin Reels,Fishing,Reels,35,199.76,283.56,Active
165,Explorer Trail Shoes,Footwear,Trail Shoes,25,189.76,335.31,Active
166,LED Camp Lighting,Camping,Lighting,36,123.15,279.23,Active
167,Professional Rods,Fishing,Rods,59,25.17,64.27,Active
168,Carbon Paddles,Kayaking,Paddles,20,43.55,118.66,Discontinued
169,Summit Tents,Camping,Tents,30,222.94,354.46,Active
170,Carbon Paddles,Kayaking,Paddles,54,222.5,515.51,Discontinued
171,Pro Reels,Fishing,Reels,29,17.85,34.25,Discontinued
172,Carbon Trekking Poles,Hiking,Trekking Poles,58,245.42,469.8,Active
173,Trail Comfort Sleeping Bags,Camping,Sleeping Bags,55,55.55,87.27,Discontinued
174,LED Camp Lighting,Camping,Lighting,2,164.01,366.73,Active
175,RainShell Jackets,Apparel,Jackets,54,198.87,335.55,Active
176,River Rods,Fishing,Rods,58,88.85,142.74,Active
177,RainShell Jackets,Apparel,Jackets,8,139.65,351.63,Active
178,Explorer Backpacks,Hiking,Backpacks,21,199.6,345.93,Active
179,Carbon Trekking Poles,Hiking,Trekking Poles,8,40.42,80.41,Active
180,Adventure Trail Shoes,Footwear,Trail Shoes,33,133.18,206.79,Active
181,Professional Rods,Fishing,Rods,34,197.97,517.45,Active
182,Summit Hiking Boots,Footwear,Hiking Boots,28,249.66,645.68,Active
183,Runner Trail Shoes,Footwear,Trail Shoes,10,225.82,417.98,Active
184,Ultralight Trekking Poles,Hiking,Trekking Poles,21,161.94,351.04,Discontinued
185,Pro Reels,Fishing,Reels,51,131.33,262.96,Active
186,Ocean Kayaks,Kayaking,Kayaks,22,118.37,203.58,Discontinued
187,Explorer Trail Shoes,Footwear,Trail Shoes,43,32.82,65.56,Active
188,StormGuard Jackets,Apparel,Jackets,54,231.52,345.89,Active
189,Cold Weather Sleeping Bags,Camping,Sleeping Bags,9,188.7,362.63,Active
190,Tournament Reels,Fishing,Reels,43,39.34,74.55,Discontinued
191,Ocean Kayaks,Kayaking,Kayaks,37,154.1,291.6,Active
192,Carbon Trekking Poles,Hiking,Trekking Poles,36,213.35,403.27,Active
193,Mountain Sleeping Bags,Camping,Sleeping Bags,36,64.28,128.61,Active
194,Spin Reels,Fishing,Reels,20,53.3,127.06,Active
195,RainShell Jackets,Apparel,Jackets,26,218.77,479.73,Active
196,Trail Backpacks,Hiking,Backpacks,27,189.07,321.64,Discontinued
197,Thermal Jackets,Apparel,Jackets,37,84.79,157.21,Active
198,Summit Tents,Camping,Tents,6,191.06,280.79,Active
199,Adventure Trail Shoes,Footwear,Trail Shoes,14,155.7,308.26,Active
200,Performance Shirts,Apparel,Shirts,32,77.98,183.24,Active
201,Explorer Tents,Camping,Tents,14,246.27,363.67,Active
202,Explorer Backpacks,Hiking,Backpacks,32,79.47,124.61,Discontinued
203,Explorer Backpacks,Hiking,Backpacks,36,137.82,237.35,Active
204,Mountain Sleeping Bags,Camping,Sleeping Bags,59,20.15,28.74,Active
205,Moisture Shirts,Apparel,Shirts,19,107.06,245.83,Active
206,TrailPro Hiking Boots,Footwear,Hiking Boots,30,51.25,139.74,Active
207,Cold Weather Sleeping Bags,Camping,Sleeping Bags,34,68.4,152.15,Active
208,Explorer Trail Shoes,Footwear,Trail Shoes,11,91.48,170.73,Active
209,Professional Rods,Fishing,Rods,23,132.39,353.26,Active
210,River Kayaks,Kayaking,Kayaks,12,34.67,60.96,Active
211,River Kayaks,Kayaking,Kayaks,30,238.31,543.14,Discontinued
212,Aluminum Paddles,Kayaking,Paddles,29,46.23,69.14,Active
213,Thermal Jackets,Apparel,Jackets,29,131.76,241.72,Active
214,Trail Comfort Sleeping Bags,Camping,Sleeping Bags,55,28.42,74.17,Active
215,Pro Reels,Fishing,Reels,48,149.28,408.42,Active
216,TrailPro Hiking Boots,Footwear,Hiking Boots,4,155.2,326.22,Discontinued
217,Mountain Sleeping Bags,Camping,Sleeping Bags,3,30.24,69.69,Active
218,Aluminum Paddles,Kayaking,Paddles,24,135.78,306.01,Active
219,Outdoor Shirts,Apparel,Shirts,4,195.87,460.38,Active
220,Cold Weather Sleeping Bags,Camping,Sleeping Bags,17,143.91,279.36,Active
221,StormGuard Jackets,Apparel,Jackets,20,169.27,454.23,Discontinued
222,Explorer Backpacks,Hiking,Backpacks,22,144.14,331.65,Active
223,Explorer Kayaks,Kayaking,Kayaks,2,170.91,360.94,Active
224,RainShell Jackets,Apparel,Jackets,13,92.02,227.53,Active
225,Trail Backpacks,Hiking,Backpacks,33,80.99,202.75,Active
226,Carbon Paddles,Kayaking,Paddles,12,153.34,247.79,Active
227,Carbon Paddles,Kayaking,Paddles,16,108.61,254.9,Discontinued
228,Tournament Reels,Fishing,Reels,16,198.11,342.26,Active
229,TrailPro Hiking Boots,Footwear,Hiking Boots,29,172.79,379.89,Discontinued
230,Moisture Shirts,Apparel,Shirts,53,136.59,376.0,Active
231,Lake Rods,Fishing,Rods,24,22.52,46.68,Active
232,Ocean Kayaks,Kayaking,Kayaks,29,30.13,48.94,Active
233,Summit Hiking Boots,Footwear,Hiking Boots,60,206.01,543.55,Active
234,TrailPro Hiking Boots,Footwear,Hiking Boots,6,130.48,225.74,Active
235,Explorer Backpacks,Hiking,Backpacks,42,233.4,600.97,Active
236,Trail Backpacks,Hiking,Backpacks,45,78.85,201.99,Active
237,Aluminum Paddles,Kayaking,Paddles,2,157.68,420.72,Active
238,Adventure Backpacks,Hiking,Backpacks,28,235.65,530.79,Active
239,Thermal Jackets,Apparel,Jackets,41,39.24,68.03,Discontinued
240,Explorer Tents,Camping,Tents,33,153.22,218.03,Active
241,Ocean Kayaks,Kayaking,Kayaks,16,113.02,255.51,Discontinued
242,Adventure Backpacks,Hiking,Backpacks,34,243.92,364.6,Active
243,Runner Trail Shoes,Footwear,Trail Shoes,17,162.56,450.85,Active
244,Thermal Jackets,Apparel,Jackets,7,67.87,157.45,Active
245,Explorer Backpacks,Hiking,Backpacks,12,141.04,358.09,Discontinued
246,Carbon Paddles,Kayaking,Paddles,50,204.76,304.75,Discontinued
247,Cold Weather Sleeping Bags,Camping,Sleeping Bags,3,20.51,34.44,Active
248,Moisture Shirts,Apparel,Shirts,42,123.62,179.41,Active
249,Performance Shirts,Apparel,Shirts,8,217.79,406.11,Active
250,Explorer Trail Shoes,Footwear,Trail Shoes,22,115.54,316.47,Active
251,Adventure Trail Shoes,Footwear,Trail Shoes,52,231.83,493.1,Active
252,Carbon Paddles,Kayaking,Paddles,12,113.35,316.6,Active
253,RainShell Jackets,Apparel,Jackets,29,88.7,160.89,Discontinued
254,Aluminum Trekking Poles,Hiking,Trekking Poles,59,117.31,283.6,Active
255,Pro Reels,Fishing,Reels,4,163.47,409.99,Active
256,Aluminum Paddles,Kayaking,Paddles,11,133.14,326.17,Active
257,Carbon Trekking Poles,Hiking,Trekking Poles,42,40.3,69.73,Active
258,Moisture Shirts,Apparel,Shirts,29,17.77,28.7,Active
259,Performance Shirts,Apparel,Shirts,26,147.74,316.35,Active
260,Carbon Paddles,Kayaking,Paddles,12,240.52,345.45,Discontinued
261,Tournament Reels,Fishing,Reels,46,38.26,95.07,Discontinued
262,Ultralight Trekking Poles,Hiking,Trekking Poles,8,229.95,480.06,Active
263,Cold Weather Sleeping Bags,Camping,Sleeping Bags,6,225.68,456.59,Active
264,Carbon Paddles,Kayaking,Paddles,20,142.0,256.52,Active
265,Ocean Kayaks,Kayaking,Kayaks,13,132.1,207.38,Active
266,Carbon Trekking Poles,Hiking,Trekking Poles,30,96.62,212.68,Active
267,River Rods,Fishing,Rods,47,84.23,235.8,Discontinued
268,Pro Reels,Fishing,Reels,21,207.6,312.07,Active
269,Explorer Trail Shoes,Footwear,Trail Shoes,54,134.17,211.94,Active
270,Ultralight Trekking Poles,Hiking,Trekking Poles,8,228.57,337.73,Active
271,RainShell Jackets,Apparel,Jackets,23,87.44,209.25,Active
272,Cold Weather Sleeping Bags,Camping,Sleeping Bags,9,162.41,352.62,Active
273,Professional Rods,Fishing,Rods,38,163.84,365.12,Active
274,Ultralight Trekking Poles,Hiking,Trekking Poles,6,19.89,51.9,Active
275,Carbon Paddles,Kayaking,Paddles,41,194.07,384.88,Active
276,Explorer Trail Shoes,Footwear,Trail Shoes,52,239.6,497.44,Discontinued
277,Performance Shirts,Apparel,Shirts,27,175.27,284.17,Discontinued
278,TrailPro Hiking Boots,Footwear,Hiking Boots,46,155.6,285.93,Active
279,Aluminum Paddles,Kayaking,Paddles,36,41.38,79.4,Active
280,Thermal Jackets,Apparel,Jackets,10,39.41,79.98,Active
281,Trail Comfort Sleeping Bags,Camping,Sleeping Bags,56,217.4,431.62,Active
282,Performance Shirts,Apparel,Shirts,33,193.15,405.15,Discontinued
283,Adventure Trail Shoes,Footwear,Trail Shoes,33,15.56,42.37,Discontinued
284,Adventure Backpacks,Hiking,Backpacks,32,94.69,139.27,Discontinued
285,RainShell Jackets,Apparel,Jackets,47,113.42,298.91,Active
286,Runner Trail Shoes,Footwear,Trail Shoes,13,106.14,233.34,Active
287,Spin Reels,Fishing,Reels,36,102.72,208.57,Active
288,River Rods,Fishing,Rods,51,244.02,476.2,Active
289,Spin Reels,Fishing,Reels,33,57.77,122.05,Active
290,Summit Tents,Camping,Tents,34,181.26,457.78,Discontinued
291,Explorer Backpacks,Hiking,Backpacks,26,233.53,431.08,Active
292,Tournament Reels,Fishing,Reels,46,208.79,447.91,Active
293,TrailPro Hiking Boots,Footwear,Hiking Boots,27,89.5,139.03,Active
294,Explorer Kayaks,Kayaking,Kayaks,51,123.9,341.21,Active
295,Explorer Kayaks,Kayaking,Kayaks,47,125.31,267.4,Discontinued
296,Trail Backpacks,Hiking,Backpacks,13,147.42,350.97,Active
297,Adventure Trail Shoes,Footwear,Trail Shoes,27,46.34,109.67,Discontinued
298,Explorer Kayaks,Kayaking,Kayaks,21,43.14,72.92,Discontinued
299,Pro Reels,Fishing,Reels,35,239.6,489.63,Active
300,Tournament Reels,Fishing,Reels,42,195.28,470.49,Active
301,Spin Reels,Fishing,Reels,20,239.76,429.32,Active
302,Moisture Shirts,Apparel,Shirts,21,59.75,142.62,Discontinued
303,Outdoor Shirts,Apparel,Shirts,25,39.25,92.13,Discontinued
304,Thermal Jackets,Apparel,Jackets,6,20.1,55.02,Active
305,Explorer Trail Shoes,Footwear,Trail Shoes,35,124.98,210.33,Active
306,Spin Reels,Fishing,Reels,16,36.21,88.25,Active
307,Outdoor Lantern Lighting,Camping,Lighting,7,64.16,110.74,Discontinued
308,Performance Shirts,Apparel,Shirts,36,173.49,276.27,Active
309,Adventure Trail Shoes,Footwear,Trail Shoes,19,166.13,408.39,Active
310,RainShell Jackets,Apparel,Jackets,48,166.55,287.32,Active
311,Carbon Trekking Poles,Hiking,Trekking Poles,54,234.14,339.71,Discontinued
312,Mountain Hiking Boots,Footwear,Hiking Boots,57,240.91,649.6,Active
313,Mountain Sleeping Bags,Camping,Sleeping Bags,22,154.67,417.58,Active
314,Runner Trail Shoes,Footwear,Trail Shoes,13,214.25,440.33,Active
315,StormGuard Jackets,Apparel,Jackets,12,120.14,211.47,Active
316,Aluminum Paddles,Kayaking,Paddles,12,146.27,359.85,Discontinued
317,Runner Trail Shoes,Footwear,Trail Shoes,9,106.2,162.86,Discontinued
318,RainShell Jackets,Apparel,Jackets,49,72.59,125.56,Active
319,Moisture Shirts,Apparel,Shirts,42,183.49,259.82,Active
320,River Kayaks,Kayaking,Kayaks,11,170.27,349.32,Discontinued
321,Carbon Paddles,Kayaking,Paddles,24,163.29,443.64,Active
322,Explorer Backpacks,Hiking,Backpacks,39,46.76,114.41,Active
323,Explorer Trail Shoes,Footwear,Trail Shoes,49,202.48,517.51,Active
324,Explorer Kayaks,Kayaking,Kayaks,5,117.22,279.6,Active
325,Outdoor Lantern Lighting,Camping,Lighting,11,58.52,125.9,Active
326,Spin Reels,Fishing,Reels,32,173.27,416.49,Active
327,Spin Reels,Fishing,Reels,30,118.82,251.73,Active
328,Tournament Reels,Fishing,Reels,26,203.66,491.35,Active
329,LED Camp Lighting,Camping,Lighting,23,148.79,217.74,Active
330,River Rods,Fishing,Rods,19,246.67,508.36,Discontinued
331,Adventure Backpacks,Hiking,Backpacks,27,244.8,564.08,Active
332,Adventure Trail Shoes,Footwear,Trail Shoes,43,100.15,235.94,Active
333,Carbon Paddles,Kayaking,Paddles,34,52.83,113.7,Active
334,River Kayaks,Kayaking,Kayaks,30,191.48,530.38,Discontinued
335,Spin Reels,Fishing,Reels,18,69.4,130.79,Active
336,River Kayaks,Kayaking,Kayaks,50,204.27,405.87,Active
337,Trail Backpacks,Hiking,Backpacks,39,34.22,49.52,Active
338,Explorer Backpacks,Hiking,Backpacks,49,115.35,248.66,Active
339,Carbon Trekking Poles,Hiking,Trekking Poles,21,205.79,498.86,Active
340,Carbon Trekking Poles,Hiking,Trekking Poles,27,246.57,525.13,Active
341,StormGuard Jackets,Apparel,Jackets,59,237.64,625.37,Active
342,Aluminum Paddles,Kayaking,Paddles,42,21.25,40.0,Discontinued
343,Tournament Reels,Fishing,Reels,25,109.92,176.85,Active
344,Spin Reels,Fishing,Reels,46,213.84,389.41,Active
345,Mountain Hiking Boots,Footwear,Hiking Boots,34,109.04,216.24,Active
346,TrailPro Hiking Boots,Footwear,Hiking Boots,60,58.8,135.56,Discontinued
347,StormGuard Jackets,Apparel,Jackets,18,183.9,306.5,Discontinued
348,River Kayaks,Kayaking,Kayaks,47,55.16,136.05,Active
349,TrailPro Hiking Boots,Footwear,Hiking Boots,14,82.77,221.21,Active
350,Explorer Kayaks,Kayaking,Kayaks,16,249.9,517.42,Active
351,Mountain Hiking Boots,Footwear,Hiking Boots,30,87.19,156.62,Active
352,Outdoor Shirts,Apparel,Shirts,7,133.08,278.96,Discontinued
353,Thermal Jackets,Apparel,Jackets,56,85.1,124.59,Active
354,River Kayaks,Kayaking,Kayaks,38,72.59,196.62,Discontinued
355,RainShell Jackets,Apparel,Jackets,54,89.17,172.26,Active
356,Adventure Trail Shoes,Footwear,Trail Shoes,47,193.21,402.66,Discontinued
357,Mountain Hiking Boots,Footwear,Hiking Boots,47,200.79,328.69,Discontinued
358,Adventure Backpacks,Hiking,Backpacks,53,18.12,46.85,Active
359,Cold Weather Sleeping Bags,Camping,Sleeping Bags,46,212.21,365.85,Active
360,Explorer Tents,Camping,Tents,43,99.57,225.52,Discontinued
361,Carbon Paddles,Kayaking,Paddles,1,11.59,25.18,Active
362,Tournament Reels,Fishing,Reels,53,244.6,348.31,Discontinued
363,Trail Backpacks,Hiking,Backpacks,40,135.85,236.02,Active
364,Outdoor Shirts,Apparel,Shirts,30,28.96,79.44,Active
365,Ocean Kayaks,Kayaking,Kayaks,42,174.17,450.58,Active
366,Trail Comfort Sleeping Bags,Camping,Sleeping Bags,41,100.52,207.72,Active
367,River Kayaks,Kayaking,Kayaks,51,129.97,260.91,Active
368,Professional Rods,Fishing,Rods,58,230.6,397.02,Discontinued
369,RainShell Jackets,Apparel,Jackets,35,174.26,312.36,Active
370,Carbon Trekking Poles,Hiking,Trekking Poles,49,240.75,534.91,Discontinued
371,Cold Weather Sleeping Bags,Camping,Sleeping Bags,55,145.35,318.81,Discontinued
372,Aluminum Paddles,Kayaking,Paddles,45,191.35,305.38,Active
373,Spin Reels,Fishing,Reels,5,33.44,57.68,Active
374,Pro Reels,Fishing,Reels,29,17.11,30.5,Discontinued
375,Ultralight Trekking Poles,Hiking,Trekking Poles,44,235.87,472.82,Discontinued
376,Rechargeable Lighting,Camping,Lighting,6,201.53,483.34,Active
377,Ultralight Trekking Poles,Hiking,Trekking Poles,25,198.13,320.18,Active
378,RainShell Jackets,Apparel,Jackets,24,11.25,20.61,Active
